tweet_id,timestamp,source,expanded_urls,rating,dog_stage,dog_prediction,prediction_confidence
666020888022790149,2015-11-15,twitter,rateDogs photo,8,None,Welsh_springer_spaniel,0.465074
666029285002620928,2015-11-15,twitter,rateDogs photo,7,None,redbone,0.506826
666033412701032449,2015-11-15,twitter,rateDogs photo,9,None,German_shepherd,0.596461
666044226329800704,2015-11-16,twitter,rateDogs photo,6,None,Rhodesian_ridgeback,0.408143
666049248165822465,2015-11-16,twitter,rateDogs photo,5,None,miniature_pinscher,0.560311
666050758794694657,2015-11-16,twitter,rateDogs photo,10,None,Bernese_mountain_dog,0.651137
666055525042405380,2015-11-16,twitter,rateDogs photo,10,None,chow,0.692517
666057090499244032,2015-11-16,twitter,rateDogs photo,9,None,golden_retriever,0.00795896
666058600524156928,2015-11-16,twitter,rateDogs photo,8,None,miniature_poodle,0.201493
666063827256086533,2015-11-16,twitter,rateDogs photo,10,None,golden_retriever,0.77593
666071193221509120,2015-11-16,twitter,rateDogs photo,9,None,Gordon_setter,0.503672
666073100786774016,2015-11-16,twitter,rateDogs photo,10,None,Walker_hound,0.260857
666082916733198337,2015-11-16,twitter,rateDogs photo,6,None,pug,0.489814
666094000022159362,2015-11-16,twitter,rateDogs photo,9,None,bloodhound,0.195217
666099513787052032,2015-11-16,twitter,rateDogs photo,8,None,Lhasa,0.58233
666102155909144576,2015-11-16,twitter,rateDogs photo,11,None,English_setter,0.298617
666273097616637952,2015-11-16,twitter,rateDogs photo,11,None,Italian_greyhound,0.176053
666287406224695296,2015-11-16,twitter,rateDogs photo,9,None,Maltese_dog,0.8575309999999999
666337882303524864,2015-11-16,twitter,rateDogs photo,9,None,Newfoundland,0.278407
666345417576210432,2015-11-16,twitter,rateDogs photo,10,None,golden_retriever,0.8587440000000001
666353288456101888,2015-11-16,twitter,rateDogs photo,8,None,malamute,0.33687399999999995
666373753744588802,2015-11-16,twitter,rateDogs photo,11,None,soft-coated_wheaten_terrier,0.326467
666396247373291520,2015-11-16,twitter,rateDogs photo,9,None,Chihuahua,0.978108
666407126856765440,2015-11-17,twitter,rateDogs photo,7,None,black-and-tan_coonhound,0.529139
666418789513326592,2015-11-17,twitter,rateDogs photo,10,None,toy_terrier,0.14968
666421158376562688,2015-11-17,twitter,rateDogs photo,12,None,Blenheim_spaniel,0.906777
666428276349472768,2015-11-17,twitter,rateDogs photo,7,None,Pembroke,0.371361
666430724426358785,2015-11-17,twitter,rateDogs photo,6,None,Irish_terrier,0.104109
666435652385423360,2015-11-17,twitter,rateDogs photo,10,None,Chesapeake_Bay_retriever,0.18413
666437273139982337,2015-11-17,twitter,rateDogs photo,7,None,Chihuahua,0.6718529999999999
666447344410484738,2015-11-17,twitter,rateDogs photo,9,None,curly-coated_retriever,0.32208400000000004
666454714377183233,2015-11-17,twitter,rateDogs photo,10,None,dalmatian,0.278954
666644823164719104,2015-11-17,twitter,rateDogs photo,9,None,Ibizan_hound,0.0443334
666649482315059201,2015-11-17,twitter,rateDogs photo,4,None,Border_collie,0.447803
666691418707132416,2015-11-17,twitter,rateDogs photo,8,None,German_shepherd,0.975401
666701168228331520,2015-11-17,twitter,rateDogs photo,8,None,Labrador_retriever,0.887707
666739327293083650,2015-11-17,twitter,rateDogs photo,10,None,miniature_poodle,0.546933
666776908487630848,2015-11-18,twitter,rateDogs photo,5,None,miniature_pinscher,0.167175
666781792255496192,2015-11-18,twitter,rateDogs photo,10,None,Italian_greyhound,0.618316
666804364988780544,2015-11-18,twitter,rateDogs photo,8,None,English_setter,0.32879200000000003
666817836334096384,2015-11-18,twitter,rateDogs photo,9,None,miniature_schnauzer,0.496953
666826780179869698,2015-11-18,twitter,rateDogs photo,12,None,Maltese_dog,0.359383
666835007768551424,2015-11-18,twitter,rateDogs photo,10,None,Airedale,0.448459
666996132027977728,2015-11-18,twitter,rateDogs photo,10,None,Rottweiler,0.0624899
667044094246576128,2015-11-18,twitter,rateDogs photo,12,None,golden_retriever,0.765266
667062181243039745,2015-11-18,twitter,rateDogs photo,10,None,Chesapeake_Bay_retriever,0.825678
667073648344346624,2015-11-18,twitter,rateDogs photo,10,None,Chihuahua,0.483682
667090893657276420,2015-11-18,twitter,rateDogs photo,7,None,Chihuahua,0.959514
667119796878725120,2015-11-18,twitter,rateDogs photo,10,None,Pembroke,0.741563
667138269671505920,2015-11-19,twitter,rateDogs photo,10,None,West_Highland_white_terrier,0.747713
667152164079423490,2015-11-19,twitter,rateDogs photo,12,None,toy_poodle,0.535411
667160273090932737,2015-11-19,twitter,rateDogs photo,11,None,golden_retriever,0.471351
667165590075940865,2015-11-19,twitter,rateDogs photo,10,None,miniature_pinscher,0.140173
667171260800061440,2015-11-19,twitter,rateDogs photo,10,None,giant_schnauzer,0.8412649999999999
667174963120574464,2015-11-19,twitter,rateDogs photo,9,None,toy_poodle,0.266437
667176164155375616,2015-11-19,twitter,rateDogs photo,4,None,soft-coated_wheaten_terrier,0.318981
667177989038297088,2015-11-19,twitter,rateDogs photo,8,None,vizsla,0.25924899999999995
667182792070062081,2015-11-19,twitter,rateDogs photo,10,None,golden_retriever,0.949892
667192066997374976,2015-11-19,twitter,rateDogs photo,12,None,Rottweiler,0.28364
667200525029539841,2015-11-19,twitter,rateDogs photo,11,None,Siberian_husky,0.694904
667211855547486208,2015-11-19,twitter,rateDogs photo,9,None,golden_retriever,0.462556
667393430834667520,2015-11-19,twitter,rateDogs photo,8,None,papillon,0.557009
667405339315146752,2015-11-19,twitter,rateDogs photo,7,None,Saint_Bernard,0.381377
667435689202614272,2015-11-19,twitter,rateDogs photo,12,None,Rottweiler,0.999091
667453023279554560,2015-11-19,twitter,rateDogs photo,11,None,Labrador_retriever,0.8256700000000001
667455448082227200,2015-11-19,twitter,rateDogs photo,7,None,Tibetan_terrier,0.676376
667470559035432960,2015-11-19,twitter,rateDogs photo,11,None,toy_poodle,0.304175
667491009379606528,2015-11-19,twitter,rateDogs photo,7,None,borzoi,0.852088
667495797102141441,2015-11-20,twitter,rateDogs photo,9,None,Chihuahua,0.143957
667502640335572993,2015-11-20,twitter,rateDogs photo,11,None,Labrador_retriever,0.996709
667509364010450944,2015-11-20,twitter,rateDogs photo,12,None,beagle,0.636169
667517642048163840,2015-11-20,twitter,rateDogs photo,8,None,Italian_greyhound,0.125176
667524857454854144,2015-11-20,twitter,rateDogs photo,12,None,Chesapeake_Bay_retriever,0.08812239999999999
667530908589760512,2015-11-20,twitter,rateDogs photo,10,None,golden_retriever,0.633037
667534815156183040,2015-11-20,twitter,rateDogs photo,8,None,Pembroke,0.435254
667538891197542400,2015-11-20,twitter,rateDogs photo,9,None,Yorkshire_terrier,0.618957
667544320556335104,2015-11-20,twitter,rateDogs photo,10,None,Pomeranian,0.412893
667546741521195010,2015-11-20,twitter,rateDogs photo,9,None,toy_poodle,0.787424
667728196545200128,2015-11-20,twitter,rateDogs photo,11,None,kuvasz,0.360159
667773195014021121,2015-11-20,twitter,rateDogs photo,8,None,West_Highland_white_terrier,0.360465
667793409583771648,2015-11-20,twitter,rateDogs photo,8,None,dalmatian,0.5350729999999999
667801013445750784,2015-11-20,twitter,rateDogs photo,12,None,flat-coated_retriever,0.508392
667806454573760512,2015-11-20,twitter,rateDogs photo,10,None,Chihuahua,0.187155
667832474953625600,2015-11-20,twitter,rateDogs photo,12,None,miniature_pinscher,0.2142
667861340749471744,2015-11-21,twitter,rateDogs photo,9,None,malamute,0.967275
667878741721415682,2015-11-21,twitter,rateDogs photo,2,None,miniature_pinscher,0.106003
667885044254572545,2015-11-21,twitter,rateDogs photo,10,None,malamute,0.0885297
667886921285246976,2015-11-21,twitter,rateDogs photo,11,None,Pomeranian,0.8004319999999999
667902449697558528,2015-11-21,twitter,rateDogs photo,9,None,Norwegian_elkhound,0.298881
667915453470232577,2015-11-21,twitter,rateDogs photo,10,None,boxer,0.196655
667924896115245057,2015-11-21,twitter,rateDogs photo,9,None,Labrador_retriever,0.209051
668113020489474048,2015-11-21,twitter,rateDogs photo,6,None,Pembroke,0.548896
668171859951755264,2015-11-21,twitter,rateDogs photo,7,None,Chihuahua,0.664834
668190681446379520,2015-11-21,twitter,rateDogs photo,12,None,Blenheim_spaniel,0.958402
668204964695683073,2015-11-21,twitter,rateDogs photo,8,None,Labrador_retriever,0.65518
668221241640230912,2015-11-22,twitter,rateDogs photo,10,None,chow,0.395101
668237644992782336,2015-11-22,twitter,rateDogs photo,10,None,chow,0.8093199999999999
668248472370458624,2015-11-22,twitter,rateDogs photo,8,None,Chihuahua,0.7345470000000001
668256321989451776,2015-11-22,twitter,rateDogs photo,13,None,Pembroke,0.0944294
668268907921326080,2015-11-22,twitter,rateDogs photo,10,None,Pembroke,0.48483
668274247790391296,2015-11-22,twitter,rateDogs photo,10,None,soft-coated_wheaten_terrier,0.406374
668286279830867968,2015-11-22,twitter,rateDogs photo,11,None,golden_retriever,0.215944
668297328638447616,2015-11-22,twitter,rateDogs photo,9,None,Eskimo_dog,0.0327838
668480044826800133,2015-11-22,twitter,rateDogs photo,11,None,Labrador_retriever,0.0999648
668484198282485761,2015-11-22,twitter,rateDogs photo,9,None,standard_poodle,0.587372
668496999348633600,2015-11-22,twitter,rateDogs photo,8,None,Staffordshire_bullterrier,0.412879
668507509523615744,2015-11-22,twitter,rateDogs photo,10,None,basenji,0.0553794
668528771708952576,2015-11-22,twitter,rateDogs photo,12,None,Labrador_retriever,0.195835
668537837512433665,2015-11-22,twitter,rateDogs photo,8,None,Lakeland_terrier,0.372988
668542336805281792,2015-11-22,twitter,rateDogs photo,10,None,American_Staffordshire_terrier,0.267695
668567822092664832,2015-11-22,twitter,rateDogs photo,11,None,Shih-Tzu,0.985649
668623201287675904,2015-11-23,twitter,rateDogs photo,10,None,Chihuahua,0.708163
668625577880875008,2015-11-23,twitter,rateDogs photo,10,None,groenendael,0.0544548
668627278264475648,2015-11-23,twitter,rateDogs photo,9,None,French_bulldog,0.965403
668631377374486528,2015-11-23,twitter,rateDogs photo,5,None,miniature_schnauzer,0.904549
668633411083464705,2015-11-23,twitter,rateDogs photo,10,None,Pekinese,0.589011
668636665813057536,2015-11-23,twitter,rateDogs photo,10,None,komondor,0.999956
668641109086707712,2015-11-23,twitter,rateDogs photo,10,None,pug,0.146311
668655139528511488,2015-11-23,twitter,rateDogs photo,11,None,beagle,0.31911
668779399630725120,2015-11-23,twitter,rateDogs photo,10,None,Chesapeake_Bay_retriever,0.285508
